a cuatro aguas	a dos aguas
apreciado	despreciado
apretado	suelto
apropiado	impropio
apropiado	inadecuado
apropiado	inapropiado
apropiado	inigual
apropiado	injusto
apropriado	inapropiado
aptero	periptero
apurado	tranquilo
arado	no arado
arbitrable	no arbitrable
arbitrario	justo
arbitrario	no arbitrario
arbitrario	recto
arbolado	despejado
arbóreo	no arbóreo
arenoso	argiloso
argumentativo	no argumentativo
arisco	cariñoso
arisco	social
armado	desarmado
armonioso	desacorde
armonioso	desarmonioso
armonioso	inarmónico
armónico	no armónico
arqueado	despegado
arrepentido	no arrepentido
arrepentido	sin arrepentimiento
arrugado	sin arrugas
artesiano	subartesiano
articulado	inarticulado
articulado	no articulado
artificial	natural
artificiosa	ingenuo
artístico	ingenuo
asalariado	autónomo
ascendente	descendente
ascendente	descendiente
ascendiente	descendiente
asegurado	no asegurado
asertivo	no asertivo
asexual	sexual
asfaltado	sin asfaltar
asignado	no asignado
asimétrico	simétrico
asinéctico	sinéctico
asistido	no asistido
asociativo	no asociativo
asombrado	despreocupado
astomático	estomático
astringente	no astringente
astuto	ingenuo
astuto	sencillo
asustado	intrépido
asíncrono	sincrono
atado	desatado
atado	libre
atado	suelto
atemático	temático
atento	desatento
atento	descuidado
atento	despreocupado
atento	olvidadizo
atento	torpe
atenuado	iluminado
ateo	religioso
aterrizado	sin tierra
atonal	tonal
atonal	tonificado
atractivo	poco atractivo
atractivo	repulsivo
atrapado	desatorado
atributable	no atribuible
atributivo	predicativo
atrofiado	hipertrofiado
atípico	típico
atómico	convencional
atómico	holístico
atónico	tónico
audaz	tímido
audible	inaudible
aumentado	disminuido
aumentando	disminuyendo
ausente	presente
autoeciótico	heteroeicóctico
automático	manual
autorizado	no autorizado
auténtico	falseado
auténtico	falsificado
auténtico	falso
auténtico	imitado
auténtico	imitativo
autógamo	endógamo
autógamo	exógamo
autógeno	heterogéneo
autólogo	heterólogo
autólogo	homólogo
autótrofo	heterótrofo
avascular	vascular
aventurero	no aventurero
avirulento	virulento
azoal	zonal
azucarado	sin azúcar
aéreo	no aéreo
bajado	levantado
bajo mano	sobre mano
bajo nacimiento	noble
bandado	desbandado
barato	caro
barato	costoso
barlovento	sotavento
barrido	no barrido
barrigón	sin barriga
bautizado	no bautizado
bebible	no bebible
belicoso	pacífico
bello	desagradable
bello	feo
bendecido	maldecido
beneficiado	no beneficiado
benigno	inclemente
benigno	maligno
benéfico	maléfico
bicameral	unicameral
bidireccional	unidireccional
bien	mal
bien aconsejado	mal aconsejado
bien cuidado	descuidado
bien definido	poco definido
bienal	perenne
bienvenido	no deseado
bimodal	unimodal
binaural	monaural
binucleado	mononucleado
binucleado	trinucleado
bipolar	unipolar
bisexual	heterosexual
bisexual	homosexual
bivalente	multivalente
bivalente	univalente
bivalvo	univalvo
bizco	estrábico
blanco	negro
blanco y negro	color
blando	duro
blando	endurecido
blando	fuerte
blindado	no blindado
bobinado	desenroscado
bobinado	recto
bonito	desagradable
bonito	feo
bonito	horrible
bordado	sin borde
bracteado	ebracteado
braquicefálico	dolicocefálico
brillante	opaco
bronceado	sin broncear
bruto	neto
buen carácter	mal carácter
bueno	maligno
bueno	malo
bueno	malvado
bueno	triste
básico	incidental
bípedo	cuadrúpedo
cabezón	pie plano
cacofónico	eufónico
caducado	vigente
caducifolio	perenne
caducifolio	persistente
calculable	incalculable
calcícola	calcífuga
caliente	frío
calificado	no calificado
calmado	inquieto
calmo	tempestuoso
calzado	descalzado
calzado	descalzo
cambiable	inmutable
cambiado	sin cambiar
camforado	no camforado
campilotropo	ortotropo
cansado	descansado
capaz	inadecuado
capaz	incapaz
capaz	inigual
capitalista	socialista
característica	poco característico
característico	inusual
cardinal	ordinal
cargado	descargado
cargado	libre
caritativo	poco caritativo
cariñoso	descariñado
cariñoso	duro
cariñoso	severo
carnoso	sin carne
carnívoro	herbívoro
carnívoro	insectívoro
casado	soltero
castigado	no castigado
casto	incontinente
castrado	no castrado
catadromo	diádromo
cataléctico	hipercataléctico
catarrino	leptorrino
catarrino	platirrino
categórico	sincategórico
caudal	cefálico
caulino	radical
causativo	no causativo
cauteloso	incauto
cauteloso	inexperto
cautivador	desagradable
cautivador	feo
cayendo	subiendo
cañón simple	doble cañón
celestial	terrenal
celular	no celular
cenobítico	eremítico
cenogenético	palingenésico
cenogenético	palingenético
censurado	uncensurado
central	periférico
centralizado	descentralizado
centralizando	descentralizando
centro	derecha
centro	izquierda
centro	suburbio
centrífugo	centrípeto
cerca	lejos
cercano	distante
cercano	lejano
cercano	remota
cercano	remoto
cerebral	emocional
certificado	no certificado
choqueable	no choqueable
ciego	vidente
científico	no científico
cierto	incierto
cima	fondo
cima	lado
cinturón	sin cinturón
cismontano	tramontano
citable	incitable
civil	incivil
civil	militar
civil	sideral
civilizado	no civilizado
claro	confuso
claro	impreciso
claro	opaco
claro	oscuro
clase alta	clase baja
clase alta	clase media
clase baja	clase media
clasificado	no clasificado
clemente	inclemente
clásico	no clásico
cobarde	valiente
cocido	crudo
cogñénito	incogñénito
coherente	incoherente
coincidente	no coincidente
colapsable	no colapsable
colateral	no lineal
colectivo	distributivo
colorido	incoloro
columnado	no columnado
combinado	no combinado
combinativo	no combinativo
combustible	no combustible
comercial	no comercial
comestible	incomestible
comisionado	no comisionado
compacto	derretido
compacto	deshielado
compacto	flojo
compacto	licuado
compacto	líquido
compacto	suelto
comparable	inconmensurable
comparativo	completo
comparativo	perfecto
comparativo	puro
comparativo	total
compartido	no compartido
compartimentado	no compartimentado
compasivo	descompasivo
compasivo	duro
compatible	incompatible
competente	incompetentemente
competitivo	no competitivo
complejo	sencillo
complejo	simple
complementario	no complementario
completo	incompleto
completo	parcial
completo	relativo
comprensible	incomprensible
comprensible	inconmensurable
compresible	incomprensible
comprometedor	intransigente
comprometido	no comprometido
compuesto	descompuesto
compuesto	simple
comunicativo	poco comunicativo
común	excepcional
común	extraordinario
común	individual
común	insólito
común	poco común
común	singular
con almidón	sin almidón
con balcón	sin balcón
con barril	sin barril
con borde	sin borde
con buen gusto	sin gusto
con caderas	sin caderas
con cama	sin cama
con cera	sin cera
con cortinas	sin cortinas
con costuras	sin costuras
con cuello	desnudo
con cámara	sin cámara
con dedo	sin dedo
con dedos	sin dedos
con derechos	privado de derechos
con espinas	sin espinas
con estilo	sin estilo
con extremidades	sin extremidades
con fondo	sin fondo
con fuelle	sin fuelle
con fugas	hermético
con guantes	sin guantes
con helechos	sin helechos
con hierba	sin hierba
con hueso	sin hueso
con labios	sin labios
con lengua	sin lengua
con llave	sin llave
con mandíbula	sin mandíbula
con mangas	sin mangas
con mano	sin mano
con marca	sin marca
con membranas	sin membranas
con ojos	sin ojos
con orejas	sin orejas
con padre	sin padre
con parte superior	sin parte superior
con patas	sin patas
con patrones	liso
con pecho	sin pecho
con pico	sin pico
con pie	sin pie
con piel	desollado
con pérdida	sin pérdida
con pétalos	sin pétalos
con receta	sin receta
con respaldo	sin respaldo
con rostro	sin rostro
con ruedas	sin ruedas
con semillas	sin semillas
con sombrero	sin sombrero
con tallo	sin tallo
con tirantes	sin tirantes
concentrado	distribuido
concido	descoincido
concienzudo	inconsciente
conciliable	irreconciliable
conciso	prolijo
conclusivo	inconcluso
concéntrico	excéntrico
condicionado	incondicionado
condicional	incondicional
condimentado	sin sazonar
conductivo	no conductivo
conectado	desconectado
conectado	inalámbrico
confiado	desconfiado
confidente	inseguro
confinado	invasivo
confinado	no confinado
confirmado	no confirmado
conformista	no conformista
confuso	definido
confuso	marcado
congelado	descongelado
congestionado	descongestionado
congruente	incongruente
conjuntivo	disyuntivo
conjunto	disjunto
conjunto	separado
conmutativo	inmutable
connotativo	denotativo
conocible	incognoscible
conocido	desconocido
conocido	incógnito
conquistable	inconquistable
consagrado	profanado
consanguíneo	exógeno
consciente	descuidado
consciente	despreocupado
consciente	inconsciente
consciente	involuntario
consciente	olvidadizo
consciente	torpe
conservado	fresco
conservador	liberal
considerable	inconsiderable
considerable	insignificante
considerado	desconsiderado
considerado	descuidado
considerado	despreocupado
considerado	olvidadizo
considerado	torpe
consistente	inconsistente
consolable	inconsolable
consonantal	vocalic
conspicuo	inconspicuo
constante	inconstante
constipado	unclconstipado
constipante	laxante
constitucional	inconstitucional
constrictivo	no constrictivo
constructivo	destructivo
construido en carvel	construido en clinker
consumado	no consumado
consumidor	generador
contaminado	impoluto
contaminado	no contaminado
contento	descontento
contento	disgustado
contento	triste
contestable	incontestable
contestado	no contestado
continental	intercontinental
continente	incontenible
continuado	descontinuado
continuado	discontínuo
continuo	discontinuo
continuo	esporádico
contralateral	ipsilateral
contrarrevolucionario	revolucionario
contraste	plano
contraído	expandido
controlado	incontrolado
controversial	no controversial
contínuo	discontínuo
convencido	inconvicido
convencional	no convencional
convencional	nuclear
conveniente	desaconsejado
conveniente	inadecuado
conveniente	inconveniente
conveniente	incómodo
conveniente	inigual
conveniente	molesto
convergente	divergente
convertible	inconvertible
convexo	cóncavo
convincente	dudoso
convincente	poco convincente
cooperativo	no cooperativo
coordinante	subordinante
cornudo	sin cuernos
coronado	no coronado
corpóreo	incorpóreo
correcto	erróneo
correcto	grosero
correcto	incorrecto
correcto	injusto
corregido	incorrecto
corriendo	parado
corriendo	pasando
corriente	insólito
corriente	no corriente
corrigible	incorrigible
corrupto	incorrupto
cortado	no cortado
cortado	sin cortar
corto	extenso
corto	largo
cortés	descortés
cortés	grosero
cosmopolita	endémico
cosmopolita	provincial
costa adentro	costa afuera
costero	interior
creativo	poco creativo
creciente	menguante
credulo	incrédulo
creíble	increíble
cristalino	no cristalino
cristalizado	no cristalizado
cristiano	no cristiano
cromático	diatónico
crucial	insignificante
crucial	no crucial
crudo	maduro
cruel	simpático
cruzado	no cruzado
crítico	incógnito
crítico	no crítico
crónico	severo
cuadrado	redondo
cualitativo	cuantitativo
cuantitativo	silábico
cubierto	descubierto
cubierto	desnudo
cuestionable	incuestionable
cuidado	descuidado
cuidadoso	descuidado
cuidadoso	despreocupado
cuidadoso	olvidadizo
cuidadoso	torpe
culpable	inocente
cultivado	incultivado
cumplido	grosero
cumplidor	informal
curable	incurable
curioso	incurioso
cursorial	fossorial
curvado	recto
cálido	distante
cálido	fresco
cálido	frío
cálido de corazón	frío de corazón
cíclico	no cíclico
cívico	grosero
cómodo	incómodo
cúbico	lineal
cúbico	planar
datable	indatable
dañado	intacto
de abajo hacia arriba	de arriba hacia abajo
de alto costo	de bajo costo
de derecho	de hecho
de espolón corto	de espolón largo
de gran resistencia	de poca resistencia
de mente abierta	de mente cerrada
de moda	pasado de moda
de pie	sentado
de raza pura	mestizo
de un solo pecho	doble pecho
debido	indebido
debilitador	energizante
debilitador	vigorizante
debilitante	energizante
debilitante	vigorizante
decente	indecente
decidido	indeciso
decisivo	indeciso
declarado	no declarado
declarativo	interrogativo
decoroso	indecoroso
dedicado	no dedicado
deducible	no deducible
deductivo	inductivo
defectuoso	perfecto
defensivo	ofensivo
definido	impreciso
definido	indefinida
definido	indefinido
definido	inexacto
definido	vago
definitivo	indefinida
definitivo	indefinido
deflacionario	inflacionario
dehiscentes	indehiscentes
delantero	posterior
delantero	trasero
delgado	espeso
delgado	graso
delgado	grueso
delgado	lleno
delicado	robusto
delineado	no delineado
demostrativo	indeterminante
dentro	fuera
dependable	indeseable
dependiente	independiente
depresor	estimulante
deprimido	exaltado
derecha	izquierda
derecho	izquierdo
derecho	revés
derivacional	flexional
derivado	no derivado
derogable	inalterable
derretido	no derretido
derrochador	económico
derrochador	frugal
derrochador	prudente
derrochar	económico
derrochar	frugal
derrochar	prudente
derrotado	invicto
desafiante	estacional
desafiante	sumiso
desagradable	encantador
desagradable	grato
desagradable	halagador
desagradable	hermoso
desagradable	placentero
desagradable	precioso
desagradable	satisfactorio
desalentador	inspirador
desaliñado	escultural
desaparejado	equipado
desapercibido	sensible
desarreglado	limpio
desarrollado	subdesarrollado
desaseado	limpio
desatado	sujeto
desatendido	seguido
descifrado	indescifrado
desconocido	familiar
desconocido	reconocido
desconocido	sabido
desconsiderado	pensativo
descriptivo	indescriptivo
descriptivo	normativo
descriptivo	prescriptivo
descubierto	envainado
descubierto	oculto
descubierto	protegido
descubierto	recubierto
deseable	indeseable
deseado	no deseado
desechable	no desechable
desempleable	empleable
desempleado	empleado
desencantado	encantado
desencarnado	encarnado
desenfocado	enfocado
desenfrenado	restringido
desenganchado	enganchado
desenredado	enredado
desenrollado	enrollado
desenroscado	enrollado
desenroscado	enroscado
desensibilizante	sensibilizante
desensillado	ensillado
desenvuelto	envuelto
deseoso	indeseoso
desequilibrado	equilibrado
desequipado	equipado
desesperanzado	esperanzado
desestresado	troubado
desfavorable	favorable
desfavorable	ventajoso
desfavorecido	privilegiado
desgarbado	hábil
desgenerar	regenerar
desgraciado	oportuno
desgustar	gustar
deshabitado	habitado
deshecho	hecho
deshecho	tejido
deshonesto	honesto
deshonesto	honorable
deshonroso	honesto
deshonroso	honorable
deshonroso	respetable
designado	electivo
desigual	igual
desinformado	informado
desinhibido	inhibido
desintegrativo	integrativo
desinteresado	egoísta
desinteresado	emocionado
desinteresado	entusiasta
desinteresado	indagador
desinteresado	interesado
deslazado	lazado
desleal	leal
desmedido	moderado
desmotivado	motivado
desnudo	frondoso
desnudo	vestido
desobediente	obediente
desobligado	obligado
desocupado	ocupado
desordenado	limpio
desordenado	meticuloso
desordenado	ordenado
desorganizado	limpio
desorganizado	organizado
desorientado	orientado
desorientador	orientador
despectivo	eufemístico
despeinado	peinado
despejado	indeterminado
despejado	nublado
despejado	obstruido
despertado	no despertado
despiadado	misericordioso
despierto	dormido
desplantado	plantado
desportante	soportante
despreciable	estimable
despreciable	simpático
despreocupado	preocupado
despreparado	preparado
desproporcionado	proporcionado
desprotegido	protegido
desprovisto de flores	floreciente
destapado	tapado
destetado	no destetado
destructible	indestructible
destruido	preservado
desuniformado	uniformado
desventajoso	ventajoso
desvinculado	involucrado
desyodando	yodando
detectado	indetectado
detectado	no detectado
detenible	imparable
deteriorado	no deteriorado
determinable	indeterminable
determinado	indeterminado
diacrónico	sincrónico
diclino	monoclino
dicotiledónea	monócotiledónea
diente	sin dientes
diestro	siniestro
diestro	torpe
diestro	zurdo
diferenciado	indiferenciado
diferente	equivalente
diferente	fraternal
diferente	igual
diferente	parecido
diferente	semejante
diferente	similar
difícil	fácil
digerible	indigerible
digitígrado	plantígrado
digno	indigno
digno de confianza	poco confiable
diligente	negligente
diluido	no diluido
dinámico	estático
dinámico	inactivo
dioico	monoico
diploide	haploide
diploide	poliploide
diplomático	undiplomático
direccional	omnidireccional
directo	indirecto
directo	inverso
directo	retrógrado
dirigido	indeterminado
dirigido	no dirigido
discernible	indiscernible
discreto	evidente
discreto	indiscreto
discreto	intrusivo
discreto	obvio
discreto	ostentoso
discriminar	indiscriminado
discriminatorio	no discriminatorio
discutible	indiscutible
diseñado	no diseñado
disfórico	eufórico
disgustado	satisfecho
dispensable	indispensable
disperso	reunido
disponible	no disponible
dispuesto	reacio
distal	mesial
distal	proximal
distante	íntimo
distingible	indistinguible
distinto	igual
distinto	indistinto
distinto	parecido
distinto	semejante
distinto	similar
distópico	utópico
disuasivo	persuasivo
diurno	nocturno
diversificado	indiferenciado
diversificado	no diversificado
divertido	solemne
dividido	unido
divisible	indivisible
doble	soltero
documentado	indocumentado
doloroso	indoloro
domado	salvaje
dominante	recesivo
dominante	subordinado
dominante	sumiso
doméstico	extranjero
doméstico	indoméstico
dorsal	ventral
dos piezas	tres piezas
dos piezas	una pieza
dotado	no dotado
dramático	lírico
dramático	no dramático
drenado	no drenado
dudoso	seguro
dulce	seco
dulce	ácido
duro	fácil
duro	sensible
duro	suave
duro	suavizado
duro	tierno
dysenético	eugenético
débil	enérgico
débil	fuerte
débil	poderoso
débil	robusto
dísimil	similar
dócil	salvaje
dócil	terco
dócil	tozudo
ecdmico	endémico
ectomorfo	endomorfo
ectomorfo	mesomorfo
ecuatorial	polar
ecóico	nonecóico
edificante	no edificante
educado	grosero
educado	sin educación
efectivo	inefectivo
efervescente	no efervescente
eficaz	incapaz
eficaz	ineficaz
eficaz	inútil
eficaz	vano
eficiente	ineficiente
elaborado	escueto
elaborado	sencillo
elaborado	simple
elegante	inelegante
elegante	sencillo
elegante	torpe
elegible	inelegible
elástico	inelástico
embarazada	no embarazada
emocional	inemocional
emocionante	poco emocionante
empeorado	mejor
empeorado	mejorado
empeoramiento	mejorado
empeorando	mejorando
empinado	gradual
empleado de oficina	trabajador manual
emprendedor	inepto
empírico	teórico
en casa	lejos
en continuidad	finalizado
en el sitio	fuera del sitio
en escena	fuera de escena
en forma	fuera de forma
en juego	fuera de juego
en la calle	fuera de la calle
en línea	fuera de línea
en maceta	sin maceta
en movimiento	inmóvil
en vivo	grabado
encabezado	sin cabeza
encantador	feo
encontrado	perdido
endergónico	exergónico
endocrino	exocrino
endocéntrico	exocéntrico
endoergético	exoergético
endogámico	exogámico
endogénico	exogénico
endogénico	exógeno
endomórfico	mesomórfico
endotérmico	exotérmico
endurecido	suavizado
endémico	epidémico
endógeno	exógeno
enfermo	sano
engañoso	veraz
enmarcado	sin enmarcar
enmendado	no enmendado
enojado	tranquilo
enrollado	recto
enroscado	recto
entendido	no entendido
entero	fraccionario
entero	mitad
entero	roto
enterrado	no enterrado
entozoico	epizoico
entrante	saliente
entrañable	odioso
entrenado	no entrenado
envasado	sin envasar
enviado	no enviado
enérgico	letárgico
equipado	no equipado
equitativo	inequitativo
equívoco	inequívoco
erecto	no erecto
erradicable	inerradicable
escalable	no escalable
escenificado	no escenificado
escrito	hablado
escrito	improvisado
escrito	no escrito
escrupuloso	poco escrupuloso
escueto	producido
escueto	sofisticado
esencial	implorante
esencial	innecesario
esencial	no esencial
esencial	orante
esencial	suplicante
esforzado	sin esfuerzo
esférico	nonsférico
esotérico	exotérico
espaciado	no espaciado
espacial	no espacial
especializado	no especializado
especificado	no especificado
específico	general
específico	no específico
esperado	inesperado
espontáneo	inducido
esposa	marido
espumoso	quieto
estable	inestable
estable	temporal
establecido	inestable
establecido	no establecido
estacional	todo el año
estatal	poco estatal
este	oeste
esteroidal	no esteroidal
estimulante	no estimulante
estratificado	no estratificado
estrellado	sin estrellas
estresado	no estresado
estreñido	laxante
estriado	no estriado
estructurado	no estructurado
estudiado	no estudiado
estándar	no estándar
estéril	fructífero
estéril	fértil
estéril	productivo
estético	inestético
estúpido	inteligente
estúpido	listo
etiquetado	no etiquetado
eucariota	procariota
eusporangiate	leptosporangiate
evidente	invisible
evidente	oculto
evitable	inevitable
exacto	impreciso
exacto	inexacto
exaugural	inaugural
excepcional	habitual
excepcional	normal
excepcional	usual
excitable	inexcitable
exclusivo	inclusivo
exculpatorio	inculpatorio
excusable	inexusable
exento	no exento
exhaustivo	no exhaustivo
exigente	fácil
exigente	poco exigente
exigible	inexigible
existente	extinto
existente	no existente
exitoso	fracasado
expansivo	no expansivo
expedito	inexpedito
experimentado	inexperto
explicable	inexplicable
exploratorio	no exploratorio
explosivo	no explosivo
explotado	inexplorado
explotado	no explotado
explícito	implícito
exportable	no exportable
expresable	inexresable
extendido	no extendido
extensible	no extensible
extensivo	intensivo
extenso	incompleto
extenso	parcial
exterior	interior
externo	interno
extinguible	inextinguible
extracelular	intracelular
extramuros	intramuros
extranjero	interior
extranjero	nativo
extraordinario	habitual
extraordinario	normal
extraordinario	ordinario
extraordinario	usual
extrasensorial	sensorial
extraterritorial	territorial
extraído	no extraído
extraño	familiar
extremo	próximo
extricable	inextricable
extrospectivo	introspectivo
extrovertido	introvertido
extrusivo	intrusivo
extrínseco	intrínseco
fabricado en fábrica	hecho en casa
facetado	no facetado
facultativo	obligatorio
facultativo	preventivo
falible	infalible
falsa	ingenuo
falseado	genuino
falseado	real
falseado	verdadero
falsificado	genuino
falsificado	real
falsificado	verdadero
falso	genuino
falso	real
falso	verdadero
fastidioso	grato
fatal	no fatal
federal	unitario
feliz	infeliz
feliz	triste
femenina	no femenina
femenino	masculino
femenino	neutro
feo	hermoso
feo	precioso
fiable	no fiable
ficticio	no ficticio
fiel	infiel
figurado	literal
fijado	no fijado
fijo	indefinida
fijo	indefinido
fijo	suelto
fijo	temporal
filial	parental
financiado	no financiado
financiero	no financiero
finito	infinito
fino	indiscriminado
fino	áspero
firmado	no firmado
fisible	no fisible
fletado	no fletado
flexible	inflexible
flexible	intransigente
flexible	resistente
flexionado	no flexionado
flojo	poderoso
fondo	lado
formado	no formado
formal	informal
fotosintético	no fotosintético
fragante	maloliente
fraternal	sororal
frecuente	infrecuente
fresco	rancio
fresco	salado
frívolo	serio
fuera	seguro
fuerte	ligero
fuerte	suave
funcional	no funcional
funcional	orgánico
funcionando	no funcionando
fundamental	implorante
fundamental	orante
fundamental	suplicante
futuro	pasado
futuro	presente
fácil	incómodo
físico	mental
ganado	no ganado
ganado	perdido
gaseoso	líquido
gaseoso	sólido
gastado	nuevo
general	local
generosa	rancio
generoso	rancio
generoso	tacaño
genuino	imitado
genuino	imitativo
geocéntrico	heliocéntrico
geográfico	magnético
girado	no girado
global	incompleto
global	parcial
glorioso	innoble
glotón	moderado
gracioso	solemne
gradual	repentino
gramatical	no gramatical
gran	menudo
gran	pequeño
grande	menudo
grande	pequeño
graso	sin grasa
grato	grosero
grato	molesto
grato	ofensivo
gregario	no gregario
guardado	perdido
guiado	no guiado
habilidoso	no habilidoso
habitable	inhabitable
habitual	insólito
habitual	inusual
hablador	taciturno
